=== 消失隊死前鎖點（僅印曾被記錄=曾瀕死的） ===
--- team=-1000038 死前軌跡（最近 100 筆瀕死快照） ---
    tick=50001 task=idle prio=0 reason= combat_target=103 option= food_days=0.00 pop=1 famine_days=0.0 tile=(8, 6) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50002 task=idle prio=0 reason= combat_target=103 option= food_days=0.00 pop=1 famine_days=0.0 tile=(8, 6) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50003 task=idle prio=0 reason= combat_target=103 option= food_days=0.00 pop=1 famine_days=0.0 tile=(8, 6) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50004 task=idle prio=0 reason= combat_target=103 option= food_days=0.00 pop=1 famine_days=0.0 tile=(8, 6) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50005 task=idle prio=0 reason= combat_target=103 option= food_days=0.00 pop=1 famine_days=0.0 tile=(8, 6) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50006 task=idle prio=0 reason= combat_target=103 option= food_days=0.00 pop=1 famine_days=0.0 tile=(8, 6) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50007 task=idle prio=0 reason= combat_target=103 option= food_days=0.00 pop=1 famine_days=0.0 tile=(8, 6) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50008 task=idle prio=0 reason= combat_target=103 option= food_days=0.00 pop=1 famine_days=0.0 tile=(8, 6) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50009 task=idle prio=0 reason= combat_target=103 option= food_days=0.00 pop=1 famine_days=0.0 tile=(8, 6) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50010 task=idle prio=0 reason= combat_target=103 option= food_days=0.00 pop=1 famine_days=0.0 tile=(8, 6) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50011 task=idle prio=0 reason= combat_target=103 option= food_days=0.00 pop=1 famine_days=0.0 tile=(8, 6) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50012 task=idle prio=0 reason= combat_target=103 option= food_days=0.00 pop=1 famine_days=0.0 tile=(8, 6) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50013 task=idle prio=0 reason= combat_target=103 option= food_days=0.00 pop=1 famine_days=0.0 tile=(8, 6) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50014 task=idle prio=0 reason= combat_target=103 option= food_days=0.00 pop=1 famine_days=0.0 tile=(8, 6) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50015 task=idle prio=0 reason= combat_target=103 option= food_days=0.00 pop=1 famine_days=0.0 tile=(8, 6) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50016 task=idle prio=0 reason= combat_target=103 option= food_days=0.00 pop=1 famine_days=0.0 tile=(8, 6) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50017 task=idle prio=0 reason= combat_target=103 option= food_days=0.00 pop=1 famine_days=0.0 tile=(8, 6) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50018 task=idle prio=0 reason= combat_target=103 option= food_days=0.00 pop=1 famine_days=0.0 tile=(8, 6) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
    tick=50019 task=idle prio=0 reason= combat_target=103 option= food_days=0.00 pop=1 famine_days=0.0 tile=(8, 6) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false
