=== checkpoint start：config跑法見PERF_LADDER/PERF_TICKS env，teams=101 ===
tick=0 dt_us=73 wall_so_far=0.0s teams=101
tick=2139 dt_us=5312721 wall_so_far=1652.6s teams=183
tick=2149 dt_us=4629826 wall_so_far=1657.2s teams=181
tick=2159 dt_us=8083584 wall_so_far=1665.3s teams=182
tick=2169 dt_us=33516702 wall_so_far=1698.8s teams=185
tick=2179 dt_us=13157094 wall_so_far=1712.0s teams=185
tick=2189 dt_us=11167647 wall_so_far=1723.1s teams=187
tick=2199 dt_us=11374035 wall_so_far=1734.5s teams=188
tick=2209 dt_us=7101890 wall_so_far=1741.6s teams=190
tick=2219 dt_us=3223426 wall_so_far=1744.8s teams=190
tick=2229 dt_us=8974259 wall_so_far=1753.8s teams=190
tick=2239 dt_us=4316753 wall_so_far=1758.1s teams=189
tick=2249 dt_us=11364320 wall_so_far=1769.5s teams=189
tick=2259 dt_us=3698555 wall_so_far=1773.2s teams=189
tick=2269 dt_us=5115593 wall_so_far=1778.3s teams=189
tick=2279 dt_us=10016908 wall_so_far=1788.3s teams=189
tick=2289 dt_us=19494811 wall_so_far=1807.8s teams=189
tick=2299 dt_us=20730261 wall_so_far=1828.5s teams=189
tick=2309 dt_us=5568190 wall_so_far=1834.1s teams=189
tick=2319 dt_us=5743507 wall_so_far=1839.9s teams=191
tick=2329 dt_us=2422029 wall_so_far=1842.3s teams=192
tick=2339 dt_us=1890028 wall_so_far=1844.2s teams=192
tick=2349 dt_us=8094743 wall_so_far=1852.3s teams=194
tick=2359 dt_us=7456785 wall_so_far=1859.7s teams=192
tick=2369 dt_us=3689305 wall_so_far=1863.4s teams=193
tick=2379 dt_us=1935431 wall_so_far=1865.3s teams=193
tick=2389 dt_us=7221174 wall_so_far=1872.6s teams=192
tick=2399 dt_us=12295682 wall_so_far=1884.9s teams=190
tick=2409 dt_us=37495231 wall_so_far=1922.4s teams=192
tick=2419 dt_us=16870710 wall_so_far=1939.2s teams=192
tick=2429 dt_us=9307308 wall_so_far=1948.5s teams=193
tick=2439 dt_us=3183425 wall_so_far=1951.7s teams=193
tick=2449 dt_us=3897203 wall_so_far=1955.6s teams=192
tick=2459 dt_us=3868231 wall_so_far=1959.5s teams=192
tick=2469 dt_us=2235466 wall_so_far=1961.7s teams=192
tick=2479 dt_us=5841142 wall_so_far=1967.6s teams=192
tick=2489 dt_us=2992190 wall_so_far=1970.6s teams=191
tick=2499 dt_us=12633659 wall_so_far=1983.2s teams=191
tick=2500 dt_us=32 wall_so_far=1983.2s teams=191
tick=2509 dt_us=6320598 wall_so_far=1989.5s teams=191
tick=2519 dt_us=12371024 wall_so_far=2001.9s teams=192
tick=2529 dt_us=24373180 wall_so_far=2026.3s teams=190
tick=2539 dt_us=13118964 wall_so_far=2039.4s teams=192
tick=2549 dt_us=6768039 wall_so_far=2046.1s teams=194
tick=2559 dt_us=4629198 wall_so_far=2050.8s teams=192
tick=2569 dt_us=19140977 wall_so_far=2069.9s teams=194
tick=2579 dt_us=2495164 wall_so_far=2072.4s teams=193
tick=2589 dt_us=1778833 wall_so_far=2074.2s teams=193
tick=2599 dt_us=6548025 wall_so_far=2080.7s teams=193
tick=2609 dt_us=4083738 wall_so_far=2084.8s teams=193
tick=2619 dt_us=2514403 wall_so_far=2087.3s teams=193
tick=2629 dt_us=2134750 wall_so_far=2089.5s teams=193
tick=2639 dt_us=8122997 wall_so_far=2097.6s teams=194
tick=2649 dt_us=36309353 wall_so_far=2133.9s teams=197
tick=2659 dt_us=17846050 wall_so_far=2151.8s teams=198
tick=2669 dt_us=7997119 wall_so_far=2159.8s teams=197
tick=2679 dt_us=7877693 wall_so_far=2167.6s teams=198
tick=2689 dt_us=4087014 wall_so_far=2171.7s teams=196
tick=2699 dt_us=10627006 wall_so_far=2182.3s teams=198
tick=2709 dt_us=5997048 wall_so_far=2188.3s teams=198
tick=2719 dt_us=5417731 wall_so_far=2193.8s teams=197
tick=2729 dt_us=4946127 wall_so_far=2198.7s teams=196
tick=2739 dt_us=11961022 wall_so_far=2210.7s teams=195
tick=2749 dt_us=21136032 wall_so_far=2231.8s teams=196
tick=2759 dt_us=9532416 wall_so_far=2241.3s teams=196
tick=2769 dt_us=21715938 wall_so_far=2263.1s teams=195
tick=2779 dt_us=14747937 wall_so_far=2277.8s teams=195
tick=2789 dt_us=10246180 wall_so_far=2288.0s teams=195
tick=2799 dt_us=16360472 wall_so_far=2304.4s teams=196
tick=2809 dt_us=8362837 wall_so_far=2312.8s teams=196
tick=2819 dt_us=3704530 wall_so_far=2316.5s teams=196
tick=2829 dt_us=3398954 wall_so_far=2319.9s teams=197
tick=2839 dt_us=5258779 wall_so_far=2325.1s teams=196
tick=2849 dt_us=3538895 wall_so_far=2328.7s teams=195
tick=2859 dt_us=6040082 wall_so_far=2334.7s teams=195
tick=2869 dt_us=3210858 wall_so_far=2337.9s teams=195
tick=2879 dt_us=7521946 wall_so_far=2345.4s teams=196
tick=2889 dt_us=39881129 wall_so_far=2385.3s teams=197
tick=2899 dt_us=18164140 wall_so_far=2403.5s teams=197
tick=2909 dt_us=12451274 wall_so_far=2415.9s teams=197
tick=2919 dt_us=7159904 wall_so_far=2423.1s teams=197
tick=2929 dt_us=12025709 wall_so_far=2435.1s teams=197
tick=2939 dt_us=6131016 wall_so_far=2441.3s teams=197
tick=2949 dt_us=5488198 wall_so_far=2446.7s teams=196
tick=2959 dt_us=8493630 wall_so_far=2455.2s teams=195
tick=2969 dt_us=11250485 wall_so_far=2466.5s teams=197
tick=2979 dt_us=15297551 wall_so_far=2481.8s teams=197
tick=2989 dt_us=9527896 wall_so_far=2491.3s teams=197
tick=2999 dt_us=23640519 wall_so_far=2515.0s teams=198
tick=3000 dt_us=29 wall_so_far=2515.0s teams=198
tick=3009 dt_us=23613510 wall_so_far=2538.6s teams=196
tick=3019 dt_us=11631155 wall_so_far=2550.2s teams=198
tick=3029 dt_us=13063635 wall_so_far=2563.3s teams=197
tick=3039 dt_us=8418841 wall_so_far=2571.7s teams=197
tick=3049 dt_us=6385584 wall_so_far=2578.1s teams=197
tick=3059 dt_us=3985565 wall_so_far=2582.1s teams=197
tick=3069 dt_us=4911686 wall_so_far=2587.0s teams=196
tick=3079 dt_us=10422143 wall_so_far=2597.4s teams=196
tick=3089 dt_us=5127937 wall_so_far=2602.5s teams=196
tick=3099 dt_us=8203009 wall_so_far=2610.7s teams=196
tick=3109 dt_us=9392689 wall_so_far=2620.1s teams=197
tick=3119 dt_us=14572475 wall_so_far=2634.7s teams=196
