=== 消失隊死前鎖點（僅印曾被記錄=曾瀕死的） ===
--- team=-1000030 死前軌跡（最近 100 筆瀕死快照） ---
    tick=54469 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54470 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54471 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54472 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54473 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54474 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54475 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54476 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54477 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54478 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54479 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54480 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54481 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54482 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54483 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54484 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54485 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54486 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54487 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54488 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54489 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54490 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=54491 task=idle prio=0 reason= combat_target=29 option= food_days=0.00 pop=1 famine_days=0.0 tile=(4, 24) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
