=== 消失隊死前鎖點（僅印曾被記錄=曾瀕死的） ===
--- team=-1000006 死前軌跡（最近 300 筆瀕死快照） ---
    tick=3605 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(18, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=3606 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(18, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=3607 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(18, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=3608 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(18, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=3609 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(18, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=3610 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(18, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=3611 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(18, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=3612 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(18, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=3613 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(18, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=3614 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(18, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=3615 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(18, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=3616 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(18, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=3617 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(18, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=3618 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(18, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=3619 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(18, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=3620 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(18, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=3621 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(18, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=3622 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(18, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=3623 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(18, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=3624 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(18, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=3625 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(18, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
    tick=3626 task=idle prio=0 reason= combat_target=-1 option= food_days=0.00 pop=1 famine_days=0.0 tile=(18, 13) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=true
