=== 消失隊死前鎖點（僅印曾被記錄=曾瀕死的） ===
--- team=-1000027 死前軌跡（最近 100 筆瀕死快照） ---
    tick=50890 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50891 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50892 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50893 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50894 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50895 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50896 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50897 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=50898 task=idle prio=0 reason= combat_target=45 option= food_days=0.00 pop=1 famine_days=0.0 tile=(17, 15) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    ★死因分類=food-ok-vanish（food_days=0.00 足、無 stuck 徵兆＝疑 merge/combat/absorb 非餓死）（死前無 stall_exclude fire）
--- team=-1000026 死前軌跡（最近 100 筆瀕死快照） ---
    tick=41899 task=idle prio=0 reason= combat_target=22 option= food_days=0.00 pop=1 famine_days=0.0 tile=(27, 1) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=41900 task=idle prio=0 reason= combat_target=22 option= food_days=0.00 pop=1 famine_days=0.0 tile=(27, 1) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=41901 task=idle prio=0 reason= combat_target=22 option= food_days=0.00 pop=1 famine_days=0.0 tile=(27, 1) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=41902 task=idle prio=0 reason= combat_target=22 option= food_days=0.00 pop=1 famine_days=0.0 tile=(27, 1) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=41903 task=idle prio=0 reason= combat_target=22 option= food_days=0.00 pop=1 famine_days=0.0 tile=(27, 1) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=41904 task=idle prio=0 reason= combat_target=22 option= food_days=0.00 pop=1 famine_days=0.0 tile=(27, 1) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=41905 task=idle prio=0 reason= combat_target=22 option= food_days=0.00 pop=1 famine_days=0.0 tile=(27, 1) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=41906 task=idle prio=0 reason= combat_target=22 option= food_days=0.00 pop=1 famine_days=0.0 tile=(27, 1) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=41907 task=idle prio=0 reason= combat_target=22 option= food_days=0.00 pop=1 famine_days=0.0 tile=(27, 1) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=41908 task=idle prio=0 reason= combat_target=22 option= food_days=0.00 pop=1 famine_days=0.0 tile=(27, 1) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=41909 task=idle prio=0 reason= combat_target=22 option= food_days=0.00 pop=1 famine_days=0.0 tile=(27, 1) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
    tick=41910 task=idle prio=0 reason= combat_target=22 option= food_days=0.00 pop=1 famine_days=0.0 tile=(27, 1) move_target=(-1, -1) flee_from=(-1, -1) committed= cooldown=[] survival_dispatch_would_succeed=false finder_hits=true
